ISO3,year,eci
HKG,2014,0.7798285789
HKG,2012,0.7277257054
HKG,2015,0.7613111305
HKG,2013,0.7241049981
HKG,2011,0.6454953789
HKG,2010,0.5298936918
HKG,2004,0.1164996969
HKG,2009,0.3690640087
HKG,2005,0.152221496
HKG,2003,-0.0096339486
HKG,2008,0.329090561
HKG,2002,-0.0510011502
HKG,2006,0.2110278023
HKG,2000,-0.1342942695
HKG,2007,0.2999526299
HKG,2001,-0.0818624586
HKG,1998,-0.3482771397
HKG,1999,-0.2603461088
JPN,2002,1.9431731989
JPN,2003,1.997987099
JPN,2004,2.0824881846
JPN,2005,1.9930875147
JPN,2006,1.9771104224
JPN,2007,1.9479996186
JPN,2008,2.0300112763
JPN,2009,2.0502362109
JPN,2010,2.101528276
JPN,2011,2.18729631
JPN,2012,2.1989250589
JPN,2013,2.1684905793
JPN,2014,2.0995345992
JPN,2015,2.1051345439
JPN,2016,2.1348306482
JPN,2017,2.1767003313
JPN,2018,2.1872569173
JPN,2019,2.1932959148
JPN,2020,2.2285475696
JPN,2021,2.1442211824
JPN,2022,2.070971544
JPN,2023,2.0670909985
JPN,2001,1.8480857038
JPN,2000,1.7301748587
JPN,1999,1.6801517554
JPN,1998,1.6158201028
KOR,2021,1.8695312226
KOR,2022,1.825652733
KOR,2023,1.8491087536
KOR,2013,1.7548638785
KOR,2014,1.7548242338
KOR,2015,1.7422245259
KOR,2016,1.7814293346
KOR,2017,1.8340151862
KOR,2018,1.8695435707
KOR,2019,1.8735594798
KOR,2020,1.9073625845
KOR,2012,1.7077853252
KOR,2011,1.581296313
KOR,2009,1.4728175492
KOR,2010,1.5025598754
KOR,2008,1.3870389236
KOR,2007,1.3166005123
KOR,2006,1.2289169024
KOR,2005,1.1509375689
KOR,2004,1.0803272927
KOR,2002,0.8183956187
KOR,2003,0.9090593515
KOR,2001,0.7064796793
KOR,2000,0.6226434252
KOR,1999,0.561856432
KOR,1998,0.4992144143
MNG,2010,-0.9799326561
MNG,2013,-0.8483755595
MNG,2007,-1.1820710939
MNG,2012,-0.9010089062
MNG,2016,-0.9078137139
MNG,2011,-0.9594857457
MNG,2017,-0.9669062352
MNG,2018,-0.9386284722
MNG,2015,-0.9404277326
MNG,2009,-1.1505019146
MNG,2008,-1.3421222641
MNG,2014,-1.0132691167
MNG,2019,-1.1543180096
MNG,2020,-1.1660600435
MNG,2021,-1.0920458977
MNG,2022,-1.3943823426
MNG,2023,-1.3176055017
PRK,2007,0.7632519509
PRK,2008,0.8283675273
PRK,2009,0.8177720895
PRK,2010,0.6985546613
PRK,2006,0.5883105254
PRK,2011,0.5504928056
PRK,2012,0.3718007037
PRK,2013,0.0384848611
PRK,2018,-0.1768158451
PRK,2014,-0.1107435716
